"Name","Price","Year","Mileage","Fuel","Transmission","Source"
"Nissan Juke 1.6 Tekna 5dr Xtronic",11399,"2019",57771,"Petrol",NA,"Cinch"
"Toyota Yaris 1.5 Hybrid Excel 5dr CVT [Tech Pack/Panoramic Rf]",18649,"2019",57771,"Petrol",NA,"Cinch"
"Renault Megane 1.5 dCi Dynamique S Nav 5dr",8799,"2019",57771,"Petrol",NA,"Cinch"
"smart forfour 0.9 Turbo Proxy Premium 5dr Auto",9799,"2019",57771,"Petrol",NA,"Cinch"
"Renault Clio 1.2 16V Dynamique Nav 5dr",8149,"2019",57771,"Petrol",NA,"Cinch"
"BMW 1 Series 118i M Sport 5dr Step Auto",19849,"2019",57771,"Petrol",NA,"Cinch"
"Ford Fiesta 1.0 EcoBoost Hybrid mHEV 125 ST-Line X Edition 5dr",14449,"2019",57771,"Petrol",NA,"Cinch"
"Fiat 500 1.0 Mild Hybrid Dolcevita [Part Leather] 3dr",12149,"2019",57771,"Petrol",NA,"Cinch"
"Volvo XC40 1.5 T3 [163] R DESIGN 5dr",22749,"2019",57771,"Petrol",NA,"Cinch"
"Ford Kuga 2.0 TDCi ST-Line Edition 5dr Auto 2WD",12999,"2019",57771,"Petrol",NA,"Cinch"
"Kia Sportage 1.6 CRDi 48V ISG 2 5dr",17249,"2019",57771,"Petrol",NA,"Cinch"
"Citroen C3 1.2 PureTech 82 Feel 5dr",8499,"2019",57771,"Petrol",NA,"Cinch"
"Fiat 500X 1.4 Multiair Cross Plus 5dr",7799,"2019",57771,"Petrol",NA,"Cinch"
"Mercedes-Benz C-Class C250d AMG Line Premium 5dr 9G-Tronic",15399,"2019",57771,"Petrol",NA,"Cinch"
"Hyundai i10 1.2 MPi Premium 5dr Auto",12299,"2019",57771,"Petrol",NA,"Cinch"
"Mercedes-Benz CLA CLA 180 AMG Line 4dr",14399,"2019",57771,"Petrol",NA,"Cinch"
"Vauxhall Corsa 1.2 Turbo SRi Edition 5dr",12799,"2019",57771,"Petrol",NA,"Cinch"
"Fiat 500 1.0 Mild Hybrid Dolcevita [Part Leather] 3dr",12149,"2019",57771,"Petrol",NA,"Cinch"
"Ford Focus 1.0 EcoBoost 140 ST-Line Navigation 5dr",9499,"2018",49961,"Petrol",NA,"Cinch"
"Vauxhall Corsa 1.2 Turbo Elite Nav Premium 5dr",11699,"2018",49961,"Petrol",NA,"Cinch"
"Jaguar XE 2.0d [180] Portfolio 4dr Auto",12649,"2018",49961,"Petrol",NA,"Cinch"
"Fiat 500 1.2 Lounge 3dr",8649,"2018",49961,"Petrol",NA,"Cinch"
"Volkswagen Passat 2.0 TDI 200 R-Line 5dr DSG",18449,"2018",49961,"Petrol",NA,"Cinch"
"Vauxhall Grandland X 1.2 Turbo SE 5dr",10399,"2018",49961,"Petrol",NA,"Cinch"
"Vauxhall Corsa 1.4 SRi Nav 5dr",9499,"2018",49961,"Petrol",NA,"Cinch"
"Peugeot 208 1.2 PureTech 82 Allure 5dr",7399,"2018",49961,"Petrol",NA,"Cinch"
"Citroen C4 Cactus 1.2 PureTech [110] Rip Curl 5dr",9599,"2018",49961,"Petrol",NA,"Cinch"
"Dacia Logan MCV 1.5 dCi Laureate 5dr",6749,"2018",49961,"Petrol",NA,"Cinch"
"SsangYong Korando 2.0 SE4 5dr",6799,"2018",49961,"Petrol",NA,"Cinch"
"Mazda CX-5 2.0 Sport 5dr",22699,"2018",49961,"Petrol",NA,"Cinch"
"Peugeot 5008 1.2 PureTech GT Premium 5dr EAT8",23699,"2018",49961,"Petrol",NA,"Cinch"
"Tesla Model Y Long Range AWD 5dr Auto",29549,"2018",49961,"Petrol",NA,"Cinch"
"Volkswagen T-Roc 1.5 TSI EVO Black Edition 5dr DSG",21064,"2018",49961,"Petrol",NA,"Cinch"
"Mazda Mazda6 2.0 SE-L Lux Nav+ 5dr",19999,"2018",49961,"Petrol",NA,"Cinch"
"MG ZS 1.5 VTi-TECH Exclusive 5dr",15999,"2018",49961,"Petrol",NA,"Cinch"
"Ford Tourneo Connect 2.0 EcoBlue Sport 5dr Auto [7 seat]",28889,"2018",49961,"Petrol",NA,"Cinch"
"MG ZS 1.0T GDi Exclusive 5dr",16299,"2018",49961,"Petrol",NA,"Cinch"
"SEAT Arona 1.5 TSI 150 FR Sport 5dr DSG",20399,"2018",49961,"Petrol",NA,"Cinch"
"Volkswagen Touareg 3.0 V6 TDI 4Motion R-Line Tech 5dr Tip Auto",33344,"2018",49961,"Petrol",NA,"Cinch"
"Audi A3 30 TFSI 116 Black Edition 5dr [Tech Pack]",17754,"2018",49961,"Petrol",NA,"Cinch"
"Mercedes-Benz EQC EQC 400 300kW AMG Line 80kWh 5dr Auto",26599,"2018",49961,"Petrol",NA,"Cinch"
"Mazda MX-30 107kW Exclusive Line 35.5kWh 5dr Auto",15479,"2018",49961,"Petrol",NA,"Cinch"
"Toyota RAV4 2.5 VVT-i Hybrid Excel 5dr CVT",25994,"2018",49961,"Petrol",NA,"Cinch"
"MG ZS 1.5 VTi-TECH Exclusive 5dr",16049,"2018",49961,"Petrol",NA,"Cinch"
"Volkswagen Polo 1.0 EVO 80 SE 5dr",14044,"2018",49961,"Petrol",NA,"Cinch"
"Tesla Model 3 Standard Plus 4dr Auto",19199,"2018",49961,"Petrol",NA,"Cinch"
"MG HS 1.5 T-GDI Trophy 5dr",17699,"2018",49961,"Petrol",NA,"Cinch"
"Land Rover Range Rover Evoque 2.0 Ingenium Si4 HSE Dynamic 5dr Auto",16059,"2018",49961,"Petrol",NA,"Cinch"
"Toyota Corolla Touring Sport 1.8 VVT-i Hybrid Design 5dr CVT",20009,"2018",49961,"Petrol",NA,"Cinch"
"Tesla Model Y Long Range AWD 5dr Auto",25949,"2018",49961,"Petrol",NA,"Cinch"
"Volkswagen Golf 1.5 TSI EVO 150 R-Line Edition 5dr",17449,"2020",40295,"Petrol","Manual  ","Cinch"
"Fiat 500X 1.0 Cross Plus 5dr",11399,"2020",40295,"Petrol","Manual  ","Cinch"
"BMW 3 Series 320d MHT M Sport 4dr Step Auto",22949,"2020",40295,"Petrol","Manual  ","Cinch"
"Audi Q2 35 TFSI Sport 5dr",16549,"2020",40295,"Petrol","Manual  ","Cinch"
"Volkswagen Golf 1.5 eTSI 150 R-Line 5dr DSG",16549,"2020",40295,"Petrol","Manual  ","Cinch"
"Suzuki Vitara 1.6 SZ-T [Rugged Pack] 5dr Auto",10499,"2020",40295,"Petrol","Manual  ","Cinch"
"Hyundai i30 1.0T GDi Premium 5dr",14029,"2020",40295,"Petrol","Manual  ","Cinch"
"MG HS 1.5 T-GDI SE 5dr DCT",17499,"2020",40295,"Petrol","Manual  ","Cinch"
"Polestar 2 170kW 69kWh Standard Range Single motor 5dr Auto",21049,"2020",40295,"Petrol","Manual  ","Cinch"
"Volkswagen T-Roc 1.5 TSI EVO Design 5dr",17899,"2020",40295,"Petrol","Manual  ","Cinch"
"Hyundai IONIQ 1.6 GDi Plug-in Hybrid Premium 5dr DCT",13869,"2020",40295,"Petrol","Manual  ","Cinch"
"Ford Focus 1.0 EcoBoost 125 Titanium X 5dr",12299,"2020",40295,"Petrol","Manual  ","Cinch"
"Jeep Compass 1.4 Multiair 140 Longitude 5dr [2WD]",13049,"2020",40295,"Petrol","Manual  ","Cinch"
"Hyundai Tucson 1.6 TGDi N Line S 5dr 2WD",24459,"2020",40295,"Petrol","Manual  ","Cinch"
"MG HS 1.5 T-GDI SE 5dr DCT",17499,"2020",40295,"Petrol","Manual  ","Cinch"
"Kia e-Niro 150kW 3 64kWh 5dr Auto",17799,"2020",40295,"Petrol","Manual  ","Cinch"
"Audi A3 35 TDI S Line 5dr S Tronic",21219,"2020",40295,"Petrol","Manual  ","Cinch"
"Ford Kuga 1.5 TDCi ST-Line 5dr 2WD",13394,"2020",40295,"Petrol","Manual  ","Cinch"
"BMW 4 Series Gran Coupe 420i M Sport 5dr Auto [Professional Media]",15149,"2020",40295,"Petrol","Manual  ","Cinch"
"Mazda CX-3 2.0 Sport Nav + 5dr [Safety + Leather Pack]",13299,"2020",40295,"Petrol","Manual  ","Cinch"
"Renault ZOE 80kW i Iconic R110 50kWh Rapid Charge 5dr Auto",11569,"2020",40295,"Petrol","Manual  ","Cinch"
"SEAT Arona 1.0 TSI SE Technology 5dr",12949,"2020",40295,"Petrol","Manual  ","Cinch"
"BMW 3 Series 320i M Sport 5dr Step Auto",33919,"2020",40295,"Petrol","Manual  ","Cinch"
"Citroen C3 1.2 PureTech 110 Plus 5dr EAT6",14294,"2020",40295,"Petrol","Manual  ","Cinch"
"Land Rover Range Rover Evoque 2.0 D180 R-Dynamic SE 5dr Auto",24699,"2020",40295,"Petrol","Manual  ","Cinch"
"MG ZS 1.5 VTi-TECH Exclusive 5dr",16279,"2020",40295,"Petrol","Manual  ","Cinch"
"Audi Q4 e-tron 125kW 35 55kWh S Line 5dr Auto",23949,"2020",40295,"Petrol","Manual  ","Cinch"
"Vauxhall Corsa 1.2 Turbo Ultimate 5dr",17049,"2020",40295,"Petrol","Manual  ","Cinch"
"Audi A3 30 TFSI S Line 4dr S Tronic",22739,"2020",40295,"Petrol","Manual  ","Cinch"
"Kia Sportage 1.6 CRDi ISG GT-Line 5dr DCT Auto",15679,"2020",40295,"Petrol","Manual  ","Cinch"
"Volvo EX30 200kW Single Motor Plus 51kWh 5dr Auto",28639,"2020",40295,"Petrol","Manual  ","Cinch"
"Peugeot 3008 1.5 BlueHDi Allure 5dr",14789,"2020",40295,"Petrol","Manual  ","Cinch"
"Nissan Juke 1.0 DiG-T 114 Tekna 5dr",18364,"2024",10533,"Petrol",NA,"Cinch"
"Vauxhall Mokka-e 100kW Ultimate 50kWh 5dr Auto",17789,"2024",10533,"Petrol",NA,"Cinch"
"SKODA OCTAVIA 1.5 TSI 150 SE L 5dr",24049,"2024",10533,"Petrol",NA,"Cinch"
"Nissan Qashqai 1.3 DiG-T MH 158 Acenta Premium 5dr Xtronic",16414,"2024",10533,"Petrol",NA,"Cinch"
"Mercedes-Benz C-Class C200 AMG Line Edition 2dr 9G-Tronic",29629,"2024",10533,"Petrol",NA,"Cinch"
"Peugeot E-2008 100kW Allure Premium 50kWh 5dr Auto",14739,"2024",10533,"Petrol",NA,"Cinch"
"Jaguar XE 2.0 P300 R-Dynamic HSE 4dr Auto AWD",31029,"2024",10533,"Petrol",NA,"Cinch"
"Nissan X-Trail 1.5 E-Power E-4orce 213 N-Connecta 5dr Auto",30904,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai i20 1.0T GDi 48V MHD Premium 5dr DCT",15854,"2024",10533,"Petrol",NA,"Cinch"
"Nissan LEAF 160kW e+ Tekna 59kWh 5dr Auto",16689,"2024",10533,"Petrol",NA,"Cinch"
"Nissan Qashqai 1.5 E-Power Tekna+ 5dr Auto",27694,"2024",10533,"Petrol",NA,"Cinch"
"Nissan Qashqai 1.3 DiG-T N-Motion 5dr",16099,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai Kona 150kW Premium 64kWh 5dr Auto",16739,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai Tucson 1.6T Premium 5dr",25959,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai Tucson 1.6 TGDi Hybrid 230 Ultimate 5dr 2WD Auto",23879,"2024",10533,"Petrol",NA,"Cinch"
"Mercedes-Benz CLA CLA 200 AMG Line Premium 5dr Tip Auto",24999,"2024",10533,"Petrol",NA,"Cinch"
"Mercedes-Benz EQC EQC 400 300kW AMG Line Premium Plus 80kWh 5dr Auto",31869,"2024",10533,"Petrol",NA,"Cinch"
"Mercedes-Benz A-Class A220d AMG Line Executive 5dr Auto",20479,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai IONIQ 5 160kW Ultimate 73 kWh 5dr Auto",22219,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai i20 1.0T GDi 48V MHD Premium 5dr",14664,"2024",10533,"Petrol",NA,"Cinch"
"Hyundai i10 1.0 MPi Premium 5dr",14129,"2024",10533,"Petrol",NA,"Cinch"
"Volvo EX30 315kW Twin Motor Performance Ultra 69kWh 5dr Auto",34549,"2024",10533,"Petrol",NA,"Cinch"
"Volvo XC40 300kW Recharge Twin Pro 78kWh 5dr AWD Auto",28439,"2024",10533,"Petrol",NA,"Cinch"
"Volvo XC40 300kW Recharge Twin Pro 78kWh 5dr AWD Auto",25179,"2024",10533,"Petrol",NA,"Cinch"
"Volvo XC90 2.0 B5D [235] Plus Dark 5dr AWD Geartronic",43309,"2024",10533,"Petrol",NA,"Cinch"
"Vauxhall Mokka-e 100kW Ultimate 50kWh 5dr Auto",17449,"2024",10533,"Petrol",NA,"Cinch"
"Volvo EX30 200kW SM Extended Range Ultra 69kWh 5dr Auto",34659,"2024",10533,"Petrol",NA,"Cinch"
"Volvo XC40 1.5 T3 [163] R DESIGN 5dr Geartronic",29729,"2024",10533,"Petrol",NA,"Cinch"
"Volvo V40 D2 [122] R DESIGN Edition 5dr Geartronic",15559,"2024",10533,"Petrol",NA,"Cinch"
"SKODA FABIA 1.0 TSI Colour Edition 5dr",14849,"2024",10533,"Petrol",NA,"Cinch"
"Vauxhall Mokka-e 100kW Ultimate 50kWh 5dr Auto",17379,"2024",10533,"Petrol",NA,"Cinch"
"Vauxhall Mokka-e 100kW Ultimate 50kWh 5dr Auto",17249,"2024",10533,"Petrol",NA,"Cinch"
"BMW 3 Series 320i M Sport 5dr Step Auto [Tech Pack]",33284,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Tucson 1.6 GDi Premium 5dr 2WD",17364,"2024",11841,"Petrol","Automatic  ","Cinch"
"SKODA KAMIQ 1.0 TSI SE L 5dr",21849,"2024",11841,"Petrol","Automatic  ","Cinch"
"SKODA FABIA 1.0 TSI SE L 5dr",14549,"2024",11841,"Petrol","Automatic  ","Cinch"
"Peugeot 5008 1.2 PureTech GT 5dr",18629,"2024",11841,"Petrol","Automatic  ","Cinch"
"Peugeot 3008 1.2 PureTech GT 5dr EAT8",23594,"2024",11841,"Petrol","Automatic  ","Cinch"
"MINI Countryman 1.5 Cooper Classic 5dr [Comfort/Nav+ Pack]",14604,"2024",11841,"Petrol","Automatic  ","Cinch"
"Nissan Qashqai 1.3 DiG-T MH 158 Acenta Premium 5dr Xtronic",18379,"2024",11841,"Petrol","Automatic  ","Cinch"
"Nissan Juke 1.0 DiG-T 114 Acenta 5dr",15224,"2024",11841,"Petrol","Automatic  ","Cinch"
"Nissan Qashqai 1.5 E-Power N-Connecta 5dr Auto",24794,"2024",11841,"Petrol","Automatic  ","Cinch"
"MINI Convertible 2.0 Cooper S Sport II 2dr Auto [Comfort/Nav Pack]",20074,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai i20 1.0T GDi Advance 5dr",16494,"2024",11841,"Petrol","Automatic  ","Cinch"
"Ford Focus 1.0 EcoBoost 125 ST-Line X 5dr",13259,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Kona 1.6 GDi Hybrid SE Connect 5dr DCT",16184,"2024",11841,"Petrol","Automatic  ","Cinch"
"BMW 5 Series 530d M Sport 4dr Auto",27294,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Tucson 1.6 TGDi Plug-in Hybrid Ultimate 5dr 4WD Auto",30394,"2024",11841,"Petrol","Automatic  ","Cinch"
"BMW X3 xDrive 30e M Sport 5dr Auto",28149,"2024",11841,"Petrol","Automatic  ","Cinch"
"BMW 2 Series Gran Coupe 218i [136] M Sport 4dr",25734,"2024",11841,"Petrol","Automatic  ","Cinch"
"Ford Focus 1.0 EcoBoost 125 Active Auto 5dr",15079,"2024",11841,"Petrol","Automatic  ","Cinch"
"BMW M4 M4 Competition 2dr Step Auto",55809,"2024",11841,"Petrol","Automatic  ","Cinch"
"Nissan Juke 1.6 Hybrid Tekna 5dr Auto",21879,"2024",11841,"Petrol","Automatic  ","Cinch"
"Mercedes-Benz GLB GLB 200 AMG Line Premium + Night Ed 5dr 7G-Tronic",34469,"2024",11841,"Petrol","Automatic  ","Cinch"
"MINI Countryman 2.0 S Exclusive ALL4 5dr Auto",32204,"2024",11841,"Petrol","Automatic  ","Cinch"
"Mercedes-Benz GLA GLA 45 S 4Matic+ Plus 5dr Auto",49009,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Kona 150kW Premium SE 64kWh 5dr Auto",16034,"2024",11841,"Petrol","Automatic  ","Cinch"
"Mercedes-Benz A-Class A180 AMG Line Executive Edition 5dr Auto",21129,"2024",11841,"Petrol","Automatic  ","Cinch"
"Land Rover Range Rover Evoque 2.0 D165 R-Dynamic 5dr 2WD",21849,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai i20 1.0T GDi 48V MHD Premium 5dr",16004,"2024",11841,"Petrol","Automatic  ","Cinch"
"Jaguar XF 3.0d V6 S 4dr Auto",20019,"2024",11841,"Petrol","Automatic  ","Cinch"
"Jaguar I-PACE 294kW EV400 Sport 90kWh 5dr Auto",36934,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Kona 150kW Premium 64kWh 5dr Auto",15919,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai Tucson 1.6 GDi SE Nav 5dr 2WD",12334,"2024",11841,"Petrol","Automatic  ","Cinch"
"Hyundai IONIQ 5 160kW Ultimate 73 kWh 5dr Auto",22564,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai Kona 1.6 GDi Hybrid Advance 5dr DCT",25309,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 3 Series 330e M Sport 5dr Step Auto",35839,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW X5 xDrive40d MHT M Sport 5dr Auto [Tech/Pro Pack]",57649,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai IONIQ 5 125kW Premium 58 kWh 5dr Auto",19474,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai Tucson 1.6T Plug-in Hybrid Ultimate 5dr 4WD Auto",35409,"2021",31886,"Electric","Automatic  ","Cinch"
"Honda CR-V 2.0 i-MMD Hybrid EX 5dr eCVT",30119,"2021",31886,"Electric","Automatic  ","Cinch"
"Honda Jazz 1.5 i-MMD Hybrid EX 5dr eCVT",14389,"2021",31886,"Electric","Automatic  ","Cinch"
"Ford Puma 1.0 EcoBoost Hybrid mHEV ST 5dr DCT",24999,"2021",31886,"Electric","Automatic  ","Cinch"
"Honda Jazz 1.5 i-MMD Hybrid Crosstar EX 5dr eCVT",19589,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 4 Series Gran Coupe 420i M Sport 5dr Step Auto",40889,"2021",31886,"Electric","Automatic  ","Cinch"
"Ford Focus 1.0 EcoBoost Hybrid mHEV 155 ST-Line 5dr Auto",21519,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW iX2 150kW eDrive20 M Sport 65kWh 5dr Auto [Tech/Pro]",35019,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW X3 xDrive 30e M Sport 5dr Auto",48689,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 1 Series 118i [136] M Sport 5dr [Live Cockpit Professional]",23554,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW X5 xDrive30d MHT M Sport 5dr Auto [Tech Pack]",60319,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 3 Series 320i M Sport 4dr Step Auto",22524,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW iX 240kW xDrive40 M Sport 76.6kWh 5dr Auto",40714,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 4 Series Gran Coupe 420i M Sport 5dr Step Auto",29549,"2021",31886,"Electric","Automatic  ","Cinch"
"MINI Hatchback 1.5 Cooper Exclusive 3dr Auto",19394,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 3 Series 320i M Sport 4dr Step Auto [Pro Pack]",25694,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 3 Series 320d MHT M Sport 5dr Step Auto",29244,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW 3 Series 330e M Sport 4dr Step Auto",20439,"2021",31886,"Electric","Automatic  ","Cinch"
"BMW iX3 210kW M Sport Pro 80kWh 5dr Auto",33189,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai BAYON 1.0 TGDi Ultimate 5dr DCT",20649,"2021",31886,"Electric","Automatic  ","Cinch"
"Mercedes-Benz C-Class C43 4Matic Premium Plus 2dr 9G-Tronic",25139,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai i10 1.0 [63] Premium 5dr Auto [Nav]",16899,"2021",31886,"Electric","Automatic  ","Cinch"
"Jaguar I-PACE 294kW EV400 R-Dynamic SE Black 90kWh 5dr Auto",31449,"2021",31886,"Electric","Automatic  ","Cinch"
"MG ZS 1.0T GDi Exclusive 5dr",16599,"2021",31886,"Electric","Automatic  ","Cinch"
"Tesla Model 3 Long Range AWD 4dr Auto",20699,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai Tucson 1.6 TGDi Hybrid 230 Ultimate 5dr 2WD Auto",25049,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai Santa Fe 1.6 TGDi Hybrid Ultimate 5dr Auto",31219,"2021",31886,"Electric","Automatic  ","Cinch"
"Hyundai Tucson 1.6 TGDi Ultimate 5dr 2WD",23664,"2022",9980,"Petrol","Manual  ","Cinch"
"Honda Jazz 1.5 i-MMD Hybrid EX 5dr eCVT",18864,"2022",9980,"Petrol","Manual  ","Cinch"
"Volkswagen Golf 1.5 TSI 150 Life 5dr",17599,"2022",9980,"Petrol","Manual  ","Cinch"
"Vauxhall Corsa-e 100kW Griffin 50kWh 5dr Auto [7.4kWCh]",11549,"2022",9980,"Petrol","Manual  ","Cinch"
"Vauxhall Corsa-e 100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh]",11449,"2022",9980,"Petrol","Manual  ","Cinch"
"Honda CR-V 2.0 i-MMD Hybrid SR 5dr eCVT",23244,"2022",9980,"Petrol","Manual  ","Cinch"
"Kia Rio 1.0 T GDi 48V 118 3 5dr",15579,"2022",9980,"Petrol","Manual  ","Cinch"
"Ford Fiesta 1.0 EcoBoost 95 ST-Line Edition 5dr",12599,"2022",9980,"Petrol","Manual  ","Cinch"
"MINI Hatchback 1.5 Cooper Classic 3dr [Comfort/Nav Pack]",15299,"2022",9980,"Petrol","Manual  ","Cinch"
"Mercedes-Benz CLA CLA 250e AMG Line Premium 4dr Tip Auto",20449,"2022",9980,"Petrol","Manual  ","Cinch"
"Audi A1 1.4 TFSI 150 S Line 5dr S Tronic",12799,"2022",9980,"Petrol","Manual  ","Cinch"
"BMW X1 sDrive 20i Sport 5dr Step Auto",20149,"2022",9980,"Petrol","Manual  ","Cinch"
"Vauxhall Mokka X 1.4T Elite Nav 5dr Auto",13999,"2022",9980,"Petrol","Manual  ","Cinch"
"Hyundai i10 1.0 Play 5dr",8999,"2022",9980,"Petrol","Manual  ","Cinch"
"Ford Fiesta 1.0 EcoBoost 140 ST-Line X 5dr",11749,"2022",9980,"Petrol","Manual  ","Cinch"
"Mazda CX-30 2.0 e-Skyactiv G MHEV SE-L Lux 5dr",14359,"2022",9980,"Petrol","Manual  ","Cinch"
"Hyundai Tucson 1.6 TGDi Premium 5dr 2WD",20974,"2022",9980,"Petrol","Manual  ","Cinch"
"Honda Honda e 113kW Advance 36kWh 5dr Auto",16449,"2022",9980,"Petrol","Manual  ","Cinch"
"BMW 4 Series Gran Coupe 420i M Sport 5dr Auto [Professional Media]",16369,"2022",9980,"Petrol","Manual  ","Cinch"
"MINI Countryman 1.5 Cooper Classic 5dr",18084,"2022",9980,"Petrol","Manual  ","Cinch"
"Ford Kuga 2.5 FHEV ST-Line X Edition 5dr CVT",21989,"2022",9980,"Petrol","Manual  ","Cinch"
"Nissan Micra 0.9 IG-T Acenta Limited Edition 5dr",8949,"2022",9980,"Petrol","Manual  ","Cinch"
"Volkswagen Golf 1.5 TSI Life 5dr",17599,"2022",9980,"Petrol","Manual  ","Cinch"
"BMW 3 Series 318d M Sport Shadow Edition 5dr Step Auto",19749,"2022",9980,"Petrol","Manual  ","Cinch"
"Mazda CX-5 2.0 GT Sport Nav+ 5dr",21169,"2022",9980,"Petrol","Manual  ","Cinch"
"Mercedes-Benz GLC Coupe GLC 220d 4Matic AMG Line 5dr 9G-Tronic",29459,"2022",9980,"Petrol","Manual  ","Cinch"
"Volkswagen Touran 1.4 TSI R-Line 5dr DSG",15859,"2022",9980,"Petrol","Manual  ","Cinch"
"Hyundai IONIQ 5 168kW Premium 77 kWh 5dr Auto [Part Leather]",23599,"2022",9980,"Petrol","Manual  ","Cinch"
"BMW 4 Series Gran Coupe 420i M Sport 5dr Auto [Plus Pack]",20499,"2022",9980,"Petrol","Manual  ","Cinch"
"Nissan Qashqai 1.3 DiG-T N-Connecta 5dr [Glass Roof Pack]",15744,"2022",9980,"Petrol","Manual  ","Cinch"
"Nissan Juke 1.0 DiG-T 114 N-Connecta 5dr",13759,"2022",9980,"Petrol","Manual  ","Cinch"
"Nissan Qashqai 1.3 DiG-T MH 158 Tekna+ 5dr",21659,"2022",9980,"Petrol","Manual  ","Cinch"
"Hyundai IONIQ 100kW Premium SE 38kWh 5dr Auto",11754,"2020",34535,"Electric",NA,"Cinch"
"Dacia Sandero 1.0 SCe Essential 5dr",9124,"2020",34535,"Electric",NA,"Cinch"
"Hyundai Santa Fe 1.6 TGDi Hybrid Premium 5dr 4WD Auto",27759,"2020",34535,"Electric",NA,"Cinch"
"MINI Hatchback 1.5 Cooper Classic 5dr Auto",15529,"2020",34535,"Electric",NA,"Cinch"
"BMW X4 M xDrive X4 M Competition 5dr Step Auto",52324,"2020",34535,"Electric",NA,"Cinch"
"Kia Niro 1.6 GDi Hybrid 3 5dr DCT",23074,"2020",34535,"Electric",NA,"Cinch"
"Kia Soul 150kW First Edition 64kWh 5dr Auto",13379,"2020",34535,"Electric",NA,"Cinch"
"Ford Fiesta 1.5 EcoBoost ST-2 3dr",11859,"2020",34535,"Electric",NA,"Cinch"
"Volkswagen Golf 2.0 TSI 320 R 4Motion 5dr DSG",29414,"2020",34535,"Electric",NA,"Cinch"
"Suzuki Vitara 1.5 Hybrid SZ5 ALLGRIP 5dr AGS",25689,"2020",34535,"Electric",NA,"Cinch"
"Jaguar E-PACE 2.0d R-Dynamic 5dr 2WD",15999,"2020",34535,"Electric",NA,"Cinch"
"Ford EcoSport 1.0 EcoBoost 125 Titanium 5dr",10249,"2020",34535,"Electric",NA,"Cinch"
"Ford Fiesta 1.0 EcoBoost 95 Active Edition 5dr",12649,"2020",34535,"Electric",NA,"Cinch"
"Kia Ceed 1.6 CRDi ISG 2 5dr",8799,"2020",34535,"Electric",NA,"Cinch"
"Hyundai Tucson 1.6 CRDi 48V MHD 136 N Line 5dr 2WD",17299,"2020",34535,"Electric",NA,"Cinch"
"Vauxhall Crossland X 1.2 Elite 5dr",9399,"2020",34535,"Electric",NA,"Cinch"
"Fiat 500 1.0 Mild Hybrid Dolcevita [Part Leather] 3dr",10199,"2020",34535,"Electric",NA,"Cinch"
"Land Rover Range Rover Evoque 2.0 TD4 SE Tech 5dr Auto",12549,"2020",34535,"Electric",NA,"Cinch"
"MINI Paceman 1.6 Cooper S 190 3dr [Chili/Media Pack]",8999,"2020",34535,"Electric",NA,"Cinch"
"Renault Clio 0.9 TCE 90 Dynamique Nav 5dr",9899,"2020",34535,"Electric",NA,"Cinch"
"smart forfour 60kW EQ Premium 17kWh 5dr Auto [22kWch]",10999,"2020",34535,"Electric",NA,"Cinch"
"Vauxhall Grandland X 1.2 Turbo Elite Nav 5dr",12949,"2020",34535,"Electric",NA,"Cinch"
"Peugeot 208 1.2 PureTech 82 Tech Edition 5dr [Start Stop]",10049,"2020",34535,"Electric",NA,"Cinch"
